key,en,cz
TALK_INPUT_HELP,Talk,Mluvit
OPEN_INPUT_HELP,Open,Otevřít
GO_THROUGH_DOOR_INPUT_HELP,Go Through Door,Projit Dveřmy
REMOVE_BOARD_ELEMENT_INPUT_HELP,Remove Element,Odstranit Element
REMOVE_BOARD_LINE_INPUT_HELP,Remove Line,Dostranit Linku
DETECTIVE_BOARD_INPUT_HELP,Detective Board,Detektivní Nástěnka
TIMELINE_SHIFT_INPUT_HELP,Timeline Shift,Posunutií Časoprostoru
JOURNAL_INPUT_HELP,Journal,Deník
INTERACT_INPUT_HELP,Interact,Interagovat
ADD_TO_BOARD_INPUT_HELP,Add to Detective Board,Pridat do Detektivní Nástěnky
