key,en,cz
CASE_001_VICTIM_IDENTIFICATION,It is her,It is her.
CASE_001_PAINTING_CLUE,Can be removed,Může být oddělán.
CASE_001_JEWELERY_SELL,She sold them.,Ona je prodala.
CASE_001_COMPUTER_USER,Could it be the password?,Mohlo by to být heslo?
CASE_001_COMPUTER_PASSWORD,Could it be the password?,Mohlo by to být heslo?
CASE_001_COMPUTER_PASSWORD_QUESTION,Possible passwod,Možné heslo.
CASE_001_COMPUTER_PASSWORD_CONFIRMATION,Should be the passwod,Mělo by být heslo heslo.
CASE_001_COMPUTER_TIMELINE_DIFFERENCE,It was diferrent in 002.,Bylo to jinak v 002.
CASE_001_SAFE_POSSIBLE_COMBINATION,Could find the number.,Možná by se to dalo najít.
CASE_001_SAFE_POSSIBLE_COMBINATION_CONFIRMATION,It should be 2962.0,Mělo by to být 2962.
